Campaign Name,Subject,List,Send Time,Send Weekday,Total Recipients,Unique Placed Order,Placed Order Rate,Revenue,Unique Opens,Open Rate,Total Opens,Unique Clicks,Click Rate,Total Clicks,Unsubscribes,Spam Complaints,Spam Complaints Rate,Successful Deliveries,Bounces,Bounce Rate,Campaign ID,Campaign Channel
NLE_250127_the-beauty-of-progress-celebrate-every-milestone_engaged-profiles-180-days,Can we tell you something? ,"NLE - Engaged Profiles (120 - 180 Days) No Overlap, NLE - Engaged Profiles (120 Days) No Overlap, NLE - Engaged Profiles (30 Days), NLE - Engaged Profiles (60 Days) No Overlap, NLE - Engaged Profiles (90 Days) No Overlap",2025/1/27 9:00,Monday,114489,86,0.07%,10123.58,63453,55.48%,89017,455,0.40%,727,308,25,0.02%,114376,113,0.10%,01JEV5Q4HCZHHJAB8WS852XPZB,Email
NLE_250130_the-domino-effect-of-skin-care_engaged-profiles-180-days,Small steps = big changes,"NLE - Engaged Profiles (120 - 180 Days) No Overlap, NLE - Engaged Profiles (120 Days) No Overlap, NLE - Engaged Profiles (30 Days), NLE - Engaged Profiles (60 Days) No Overlap, NLE - Engaged Profiles (90 Days) No Overlap",2025/1/30 9:00,Thursday,112448,62,0.06%,7707.5,61240,54.51%,86607,405,0.36%,606,198,19,0.02%,112339,109,0.10%,01JEV5M07JXK6NE28AAQWGQKN1,Email
250131_the-annual-archive-sale,The 2025 Archive Sale | Sign up for Access!,[DEP] - 2025 VIP - Archive Messages,2025/1/31 3:00,Friday,17291,50,0.29%,5406.52,11164,64.58%,16012,1116,6.46%,1367,28,6,0.03%,17286,5,0.03%,01JJX8C7W95PFWBEBHX6QWXY3T,Email
250107_Year_of_Snake-exclude-orders,25% Off EVERYTHING for the year of Snake ,"[DEP] - All Engaged Buyers, [DEP] - All Engaged Non Purchasers, [DEP] - All Engaged Repeat Buyers - 365, [DEP] - Fairly Engaged - no mail, [DEP] - Signed up 30 days **DO NOT TOUCH**",2025/1/31 7:45,Friday,69524,114,0.16%,14183.43,46362,66.81%,65739,554,0.80%,834,128,18,0.03%,69395,129,0.19%,01JJXBCGPWMCQDHTG9G7121AYB,Email
250107_Year_of_Snake,25% Off EVERYTHING for the year of Snake ,"[DEP] - All Engaged Buyers, [DEP] - All Engaged Non Purchasers, [DEP] - All Engaged Repeat Buyers - 365, [DEP] - Fairly Engaged - no mail, [DEP] - Signed up 30 days **DO NOT TOUCH**",2025/1/31 7:45,Friday,1701,0,0.00%,0,1045,61.51%,1519,23,1.35%,35,7,0,0.00%,1699,2,0.12%,01JJXAZV6THG1PF2JWXHAJXGZZ,Email
231125_Reminder_Black_Friday_Offer_all_other_repeats (clone),25% Off EVERYTHING for the year of Snake ,[DEP] - HK Warehouse Serving Customers,2025/1/31 8:15,Friday,2225,3,0.14%,225.72,1330,59.86%,1940,36,1.62%,63,4,0,0.00%,2222,3,0.14%,01JD47MJSNHR2QQ7SQPNNQQ2ZN,Email
NLE | 02.02.2025 | Entering the Month of Love,"V-day glow-up? Yes, please!,",NLE - Engaged Profiles (120 Days) No Overlap NLE - Engaged Profiles (30 Days),2025/2/2 9:00,Sunday,103749,58,0.06%,7420.62,58245,56.19%,83159,487,0.47%,769,257,15,0.01%,103653,96,0.09%,01JJ239FCQFZW9TQKYSJP02XBH,Email
250203_the-annual-archive-sale-reminder,This Friday - The Archive Sale | Sign up for Access!,"2024 Archive Sale, [DEP] - 2025 VIP - Archive Messages",2025/2/3 3:15,Monday,16636,23,0.14%,2686.16,10513,63.23%,14907,598,3.60%,733,22,4,0.02%,16627,9,0.05%,01JK4XPQC7SH956VA06TY6RA9F,Email
NLE | 02.05.2025 | "What If?",Skin feeling a little... blah? ,"NLE - Engaged Profiles (120 Days) No Overlap, NLE - Engaged Profiles (30 Days), NLE - Engaged Profiles (60 Days) No Overlap, NLE - Engaged Profiles (90 Days) No Overlap",2025/2/5 9:00,Wednesday,100382,51,0.05%,6169.48,54651,54.50%,78878,446,0.45%,630,217,19,0.02%,100283,99,0.10%,01JJ23AS7T1EZ83MEWBRPNE93J,Email
250207_Last_Reminder,$10 Retinal Serum | Sign up for Access!,"2024 Archive Sale, [DEP] - 2025 VIP - Archive Messages",2025/2/6 3:15,Thursday,16160,35,0.22%,3958.53,10109,62.59%,14472,515,3.19%,694,27,4,0.03%,16151,9,0.06%,01JK7WAXPPSE5RCY294J1XR4DK,Email
250207_Archive_Sale_Launch,Archive Sale is OPEN |  Access $10 Retinal Serum!,Archive Sale 2025,2025/2/7 3:15,Friday,1512,261,17.26%,36013.76,1251,82.74%,2059,753,49.80%,1406,0,0,0.00%,1512,0,0.00%,01JKD9DG7MWQ7ZWARZR7HEKH23,Email
"NLE | 02.07.2025 | Micro Changes, Major Impact",Bad habits = dull skin ,"""NLE - Engaged Profiles (120 Days) No Overlap NLE - Engaged Profiles (30 Days)",2025/2/7 4:00,Friday,98778,59,0.06%,7303.06,53777,54.50%,77737,282,0.29%,529,200,11,0.01%,98681,97,0.10%,01JJ23H6CYHEBRYHGH2V01R5CP,Email
250207_Archive_Sale_Launch_USA,Archive Sale is OPEN |  $9 FDA approved Sunscreen ,[ARCHIVE SALE] USA Customers,2025/2/7 7:45,Friday,1032,53,5.14%,6860.35,828,80.23%,1320,219,21.22%,458,0,0,0.00%,1032,0,0.00%,01JKDB9E55WFEKPQD7P6ATMF0H,Email
250207_Archive_Sale_Launch_Evening,Don't Sleep on THIS! |  Access $10 Retinal Serum!,Archive Sale 2025,2025/2/7 14:15,Friday,1513,49,3.24%,5640,1143,75.55%,1743,237,15.66%,476,0,0,0.00%,1513,0,0.00%,01JKDDYPS2C8QY6KR94CAJGWTP,Email
250208_Archive_Sale_48hrs_left!,Reminder: Archive Sale is ON |  Access $10 Retinal Serum!,Archive Sale 2025,2025/2/8 4:00,Saturday,1829,106,5.80%,13432.5,1352,73.92%,2061,333,18.21%,626,0,2,0.11%,1829,0,0.00%,01JKFY80403E5VSSYADWPFDV8S,Email
250208_Archive_Sale_$15,ARCHIVE SALE |  5 items in the Sale for $10 or less!,Archive Sale 2025,2025/2/8 14:00,Saturday,1829,62,3.39%,6113.09,1418,77.53%,2129,344,18.81%,607,0,0,0.00%,1829,0,0.00%,01JKFZ82YVMK1D88HZMFBKN076,Email
NLE | 02.08.2025 | Did You Know: There's More Than 1 Type of Wrinkle?,TWO kinds of wrinkles?! Help! ,"NLE - Engaged Profiles (120 Days) No Overlap, NLE - Engaged Profiles (30 Days), NLE - Engaged Profiles (60 Days) No Overlap, NLE - Engaged Profiles (90 Days) No Overlap",2025/2/9 4:00,Sunday,98393,54,0.06%,6475.97,53871,54.81%,77468,464,0.47%,806,181,20,0.02%,98290,103,0.10%,01JJ23JWJY7AD1HRP4DK4Y40BA,Email
250209_Archive_Sale_EndsMidnight,Last Chance |  Archive Sale Ends at Midnight!,Archive Sale 2025,2025/2/9 6:00,Sunday,1829,61,3.34%,8001.59,1284,70.24%,1897,217,11.87%,388,1,0,0.00%,1828,1,0.06%,01JKG0PWNVVDBSWBEPTXRAR4BB,Email
250210_Archive_Sale_Last_Chance,Archive Sale | Some items extended for 24 hours!,Archive Sale 2025,2025/2/10 3:30,Monday,1891,38,2.01%,3144.75,1348,71.28%,1996,222,11.74%,365,1,1,0.05%,1891,0,0.00%,01JKR39P8P4N0NVE1S4733S0VD,Email
NLE | 02.12.2025 | Meet "The Skim Doc" - Dr. Jihae Na,What do doctors say about Depology?,"NLE - Engaged Profiles (120 Days) No Overlap, NLE - Engaged Profiles (30 Days), NLE - Engaged Profiles (60 Days) No Overlap, NLE - Engaged Profiles (90 Days) No Overlap",2025/2/12 9:00,Wednesday,90868,51,0.06%,5880.71,46979,51.76%,68381,323,0.36%,549,187,18,0.02%,90764,104,0.11%,01JJ23MBYB7QF1H5VK1T6E8Q72,Email
NLE | 02.14.2025 | The Midnight Makeover,Transform your eyes overnight ,"NLE - Engaged Profiles (120 Days) No Overlap, NLE - Engaged Profiles (30 Days), NLE - Engaged Profiles (60 Days) No Overlap, NLE - Engaged Profiles (90 Days) No Overlap",2025/2/14 9:00,Friday,90108,83,0.09%,10261.28,46985,52.20%,69411,650,0.72%,914,162,23,0.03%,90003,105,0.12%,01JJ24GKQTMQN3B0JC7V3W4EGS,Email
NLE | 02.17.2025 | One Glow To Rule Them All,"Goodbye wrinkles, hello glow!,", NLE - Engaged Profiles (120 Days) No OverlapNLE - Engaged Profiles (30 Days),2025/2/17 9:00,Monday,87622,60,0.07%,6638.28,46705,53.36%,68003,480,0.55%,669,215,12,0.01%,87528,94,0.11%,01JJ23PC0DX4032T485R30ZZG8,Email
250217_HK_warehouse,Asia Exclusive | See our Warehouse Sale !,[DEP] - HK Warehouse Serving Customers,2025/2/17 14:15,Monday,2139,6,0.28%,1015.1,1260,58.96%,1822,58,2.71%,110,7,0,0.00%,2137,2,0.09%,01JM9NY8AF3XFBC8Z8PWX2ZKHZ,Email
NLE | 02.19.2025 | The Micro Miracle,Your skincare just got smarter,"NLE - Engaged Profiles (120 Days) No Overlap, NLE - Engaged Profiles (30 Days), NLE - Engaged Profiles (60 Days) No Overlap, NLE - Engaged Profiles (90 Days) No Overlap",2025/2/19 9:00,Wednesday,87925,86,0.10%,9750.38,45298,51.62%,65243,402,0.46%,599,188,12,0.01%,87757,168,0.19%,01JJ23QBQDYPP9G8KZ5BK2QTXR,Email
250221_Warehouse_Sale-archive,Warehouse Clearance! | Some similar offers to our Archive Sale!,Archive Sale 2025,2025/2/21 3:00,Friday,1834,59,3.22%,6526.2,1459,79.60%,2345,501,27.33%,854,2,0,0.00%,1833,1,0.06%,01JMKKBVBP34KS735NWF8XP3K2,Email
250221_Warehouse_Sale,Warehouse Clearance! |  Access $10 Retinal Serum!,"2024 Archive Sale, VIP Customers, [DEP] - All Engaged Buyers, [DEP] - All Engaged Non Purchasers, [DEP] - All Engaged Repeat Buyers - 365, [DEP] - Fairly Engaged - no mail, [DEP] - Signed up 30 days **DO NOT TOUCH**",2025/2/21 3:15,Friday,81756,273,0.33%,33601.15,55276,67.67%,77523,1446,1.77%,2678,197,17,0.02%,81687,69,0.08%,01JMKJ9NYMMHHNZ4NHQQGQNJKR,Email
250223_Warehouse_Sale_3for2,3 FOR 2! | Time to stock up on your favorites! ,"2024 Archive Sale, Archive Sale 2025, VIP Customers, [DEP] - All Engaged Buyers, [DEP] - All Engaged Non Purchasers, [DEP] - All Engaged Repeat Buyers - 365, [DEP] - Fairly Engaged - no mail, [DEP] - Signed up 30 days **DO NOT TOUCH**",2025/2/23 4:00,Sunday,83377,160,0.19%,23300.92,54915,65.94%,75971,1517,1.82%,2283,173,19,0.02%,83286,91,0.11%,01JMKT6EAEN7BY4ARTHJDCY6KM,Email
NLE | 02.23.2025 | Check Out Jamie Walcott's Regimen,Skincare routine falling flat? ,"NLE - Engaged Profiles (120 - 180 Days) No Overlap, NLE - Engaged Profiles (120 Days) No Overlap, NLE - Engaged Profiles (30 Days), NLE - Engaged Profiles (60 Days) No Overlap, NLE - Engaged Profiles (90 Days) No Overlap",2025/2/24 8:30,Monday,93239,37,0.04%,4190.11,46442,49.86%,67114,324,0.35%,527,205,19,0.02%,93145,94,0.10%,01JJ2403VK3431QDYPDA73PHQW,Email
NLE | 02.21.2025 | Skin Structure: Like Building a Strong Foundation,Building better skin is easy!",NLE - Engaged Profiles (120 Days) No Overlap NLE - Engaged Profiles (30 Days),2025/2/25 8:00,Tuesday,87161,72,0.08%,7394.63,44995,51.67%,65156,279,0.32%,465,226,12,0.01%,87089,72,0.08%,01JJ23RK7HMGKH768KR6PJX570,Email
NLE | 02.28.2025 | The True Cost of Neglecting Skincare,Skipping skincare? Risky move ,One-Time Buyers Zero Purchases in the Last 60 Days,2025/2/28 9:00,Friday,38748,6,0.02%,378.73,24564,63.46%,33763,90,0.23%,137,87,5,0.01%,38706,42,0.11%,01JJ24EH57D6KGV5GM8XVMCK14,Email
NLE | 03.03.2025 | Beauty in Bloom: Spring Radiance Essentials,Spring skin made easy!,"""NLE - Engaged Profiles (120 Days) No Overlap NLE - Engaged Profiles (30 Days)",2025/3/3 9:00,Monday,86900,63,0.07%,8322.84,44272,51.00%,63798,475,0.55%,746,240,18,0.02%,86814,86,0.10%,01JKQKX0SWT17DXDV4STCTH2ZQ,Email
NLE | 03.4.2025 | The True Cost of Neglecting Skincare - RESEND, Your skin is keeping score, NLE - Engaged Profiles (30 Days)"NLE - Engaged Profiles (120 Days) No Overlap,2025/3/5 9:00,Wednesday,70868,41,0.06%,4437.32,31598,44.64%,44695,307,0.43%,540,179,14,0.02%,70792,76,0.11%,01JNGE2M7BSQNPBWFWGGQ82V5P,Email
NLE | 03.07.2025 | Skin That Ignores the Calendar,Ageless skin starts here!, NLE - Engaged Profiles (30 Days)"NLE - Engaged Profiles (120 Days) No Overlap,2025/3/7 9:00,Friday,83893,62,0.07%,7231.79,42583,50.81%,61913,384,0.46%,587,194,11,0.01%,83803,90,0.11%,01JKQH35MT2J7AWRXPT9BSCVFW,Email
250309_Perky_with_Peptides,Perky with Peptides! | Add some 'Pep' to your step ,"[DEP] - All Engaged Buyers, [DEP] - All Engaged Non Purchasers, [DEP] - All Engaged Repeat Buyers - 365, [DEP] - Fairly Engaged - no mail, [DEP] - Signed up 30 days **DO NOT TOUCH**",2025/3/9 4:15,Sunday,82860,88,0.11%,9616.01,58738,70.98%,80785,523,0.63%,776,243,12,0.01%,82756,104,0.13%,01JNJQRS6XBZ12KWMP0VBDMCP6,Email
NLE | 03.11.2025 | Stealing Back Your Best Skin,Did winter snatch your glow? ,"NLE - Engaged Profiles (120 Days) No Overlap, NLE - Engaged Profiles (30 Days), NLE - Engaged Profiles (60 Days) No Overlap, NLE - Engaged Profiles (90 Days) No Overlap",2025/3/11 9:00,Tuesday,82976,64,0.08%,8098.15,43207,52.13%,61981,326,0.39%,864,233,11,0.01%,82885,91,0.11%,01JKQH5HY4DZFNFF1BQF2AP1FH,Email
GlockApps Deliverability Test,Your dream came true... ,GlockApps Deliverability Test,2025/3/12 7:26,Wednesday,77,0,0.00%,0,23,29.87%,24,1,1.30%,5,0,0,0.00%,77,0,0.00%,01JP51M9EZVH1PX8CTD2VV8B2F,Email
NLE | 03.14.2025 | The ArgirelinePeptide,Wrinkles are running scared! ,"NLE - Engaged Profiles (120 Days) No Overlap, NLE - Engaged Profiles (30 Days), NLE - Engaged Profiles (60 Days) No Overlap, NLE - Engaged Profiles (90 Days) No Overlap",2025/3/14 9:00,Friday,79745,69,0.09%,8267.15,40561,50.91%,59135,501,0.63%,773,170,4,0.01%,79667,78,0.10%,01JKTA4SQF67NMSFT0YZ06ZHJ6,Email
[DEP]250316_MOP_Intro_The cream delivers deeper,NEW! | The cream that delivers skincare deeper! ,"[DEP] - All Engaged Buyers, [DEP] - All Engaged Non Purchasers, [DEP] - All Engaged Repeat Buyers - 365, [DEP] - Fairly Engaged - no mail",2025/3/16 5:15,Sunday,80552,119,0.15%,11726.13,56053,69.70%,77289,841,1.05%,1188,202,10,0.01%,80425,127,0.16%,01JNMWN9NAXX8WZ1TPWJ72JD4M,Email
NLE | 03.17.2025 | Kintsugi,Kintsugi for your skin? ,"NLE - Engaged Profiles (120 Days) No Overlap, NLE - Engaged Profiles (30 Days), NLE - Engaged Profiles (60 Days) No Overlap, NLE - Engaged Profiles (90 Days) No Overlap",2025/3/17 9:00,Monday,79154,52,0.07%,5217.13,40274,50.94%,57968,274,0.35%,446,194,12,0.01%,79062,92,0.12%,01JKTA8203NPDMSB9WHKMNDEZF,Email
